Sr.No.,ORGANIZATION NAME,LINK
1,Meghalaya Energy Corporation Limited,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SHXzAeTkot7P4JDf%2FRD8GIA%3D%3D
2,Meghalaya New and Renewable Energy Development Agency - ADB Tender,https://meghalayatenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SrpA2GXqCvlOH1dstDS3Idw%3D%3D
