Sr.No.,ORGANIZATION NAME,LINK
28,Harbour Engineering Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S2AELrffvWnSB6unk0d3Gxg%3D%3D
29,Higher Education Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SnPFmQ65MU3r48VZRW8be59S0Fec7wUuNy1YFXyqSerE%3D
30,High Power Committee for the Implementation of Sabarimala Master Plan,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SGwtQJVOzd7vZEiW7IkP50dS0Fec7wUuNy1YFXyqSerE%3D
31,HLL Infra Tech Services Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SNoXBYsZaIPwYTDWyOOfNtNS0Fec7wUuNy1YFXyqSerE%3D
32,HLL Lifecare Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=STyqy7enfMUbT2WS1zpRL%2F9S0Fec7wUuNy1YFXyqSerE%3D
33,Hydrographic Survey Wing,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SuXkV4gSkm%2BuS37xDRCWcjQ%3D%3D
34,IMPACT Kerala Ltd.,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S933H2j%2FUSzT%2F6zWNT1CuEtS0Fec7wUuNy1YFXyqSerE%3D
35,Indian Institute of Information Technology and Management-Kerala (IIITM-K),https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SihrhxJdVyMBqM2Mm5ZHjb9S0Fec7wUuNy1YFXyqSerE%3D
36,INKEL Limited,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SgXPqqOG1F5ebMQ58uCcNs9S0Fec7wUuNy1YFXyqSerE%3D
37,International Centre for Free and Open Source Software,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4A3luOFQ%2FvwGgTcCRWGKOdS0Fec7wUuNy1YFXyqSerE%3D
38,Irrigation Department,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SSg6gyYygKK%2BXPNnaZf%2FaXQ%3D%3D
39,Kerala Agricultural University,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SzimlRky%2FNIUJ1GJfYESXINS0Fec7wUuNy1YFXyqSerE%3D
