Sr.No.,ORGANIZATION NAME,LINK
1,Energy and Power Department- Government of Sikkim,https://sikkimtender.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sq9lyBDbNRh8YGDoT5i49Pg%3D%3D
2,Rural Development Department Sikkim,https://sikkimtender.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SoF6FjpQuIeRKmQtPduGlRQ%3D%3D
