NAME,REF NO, OPENING DATE,CLOSING DATE,LINK
1.  DEPOSIT  Rewiring work for MACT Attingal  Rewiring work for MACT Attingal Court complex Chirayinkeezhu Thiruvananthapuram General Electrical Work,ESDT/ET_401/2023-24,28-Nov-2023 06:00 PM,01-Dec-2023 11:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=StrV7ORf7zV%2BXBvO3LBuGRg%3D%3D
2. DEPOSIT  AC  work for MACT Attingal court complex Thiruvananthapuram - Installation of AC In chamber room in Old MACT  Electrical AC Work,ESDT/ET_402/2023-24,28-Nov-2023 06:00 PM,01-Dec-2023 11:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=S8g3%2BDk0%2FAX2fSgMZTIzaNw%3D%3D
3. Annual Plan 2023-24- 95/24- Maintenance of Kurichithanam Veterinary hospital-95/24,ESDT/ET_402/2023-24,28-Nov-2023 06:00 PM,01-Dec-2023 11:00 AM,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=Sd3391Z9sQ8%2FLAqm7ilYg1Q%3D%3D
