NAME,REF NO, OPENING DATE,CLOSING DATE, LINK
1. S.R to R.I. Office-cum-Residence Building at Darpanagarh for the year 2023-24 ,Tender Online JJPR-II-07 of 2023-24,30-11-2023 17:00,01-12-2023 11:30,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=ScI%2BGbLprQU5tnbclbh3Tsg%3D%3D
"2. SR to Tahasil office building-Darpani at Dhanamandal for the year 2023-24 ",Tender Online JJPR-II-07 of 2023-24,30-11-2023 17:00,01-12-2023 11:30,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=So9rk4aEeKc0r2cwX2q1%2B5A%3D%3D
3. Construction of  Sub-Center building at Ektala under Rasulpur block for the year 2023-24 ,Tender Online JJPR-II-07 of 2023-24,30-11-2023 17:00,01-12-2023 11:30,https://tendersodisha.gov.in/nicgep/app?component=%24DirectLink&page=Home&service=direct&session=T&sp=SRV%2FDIs8Kw%2BvOR1Hc%2BeiEWQ%3D%3D
